index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
438,130,11,0,10,0,0,0,-9,-16,3018,P
439,40,4,0,10,0,7,70,-1,-9,3045,P
440,90,4,0,1,3.25,8,12,-2,-3,3026,P
441,80,10,0,5,10,4,8,1,-2,3020,P
442,0,0,0,10,0,0,0,-3,-6,3017,P
443,110,10,0,8,0,0,0,2,-1,3001,P
444,90,10,0,10,0,7,38,5,1,2994,P
445,100,10,0,10,0,0,0,-3,-9,3032,P
446,80,8,0,10,0,0,0,-1,-5,3029,P
447,200,3,0,10,0,5,60,0,-8,3050,P
448,30,3,0,2,3.25,6,12,-2,-3,3032,P
449,110,9,0,8,0,0,0,1,-1,3004,P
450,50,5,0,1,3.25,7,13,-8,-8,3011,P
451,0,0,0,10,0,0,0,-20,-25,3004,P
452,40,8,0,10,0,0,0,-15,-21,2968,P
453,40,6,0,0,3.25,8,14,-3,-5,2990,P
454,0,0,0,10,0,0,0,-21,-25,3005,P
455,50,14,0,7,0,0,0,-3,-5,3014,P
456,60,5,0,10,0,0,0,-1,-9,3045,P
457,0,0,0,10,0,0,0,1,-3,3010,P
458,40,8,0,10,0,0,0,-15,-21,2968,P
459,0,12,18,10,0,7,35,2,-1,2979,P
460,70,4,0,7,0,0,0,-3,-6,3035,P
461,170,4,0,10,0,0,0,-19,-24,3000,P
462,0,0,0,10,0,0,0,-21,-25,3005,P
463,170,3,0,10,0,5,79,3,-9,3050,P
464,130,9,0,2,10,7,9,-6,-6,2995,P
465,340,4,0,10,0,0,0,-3,-9,3020,P
466,120,11,0,6,10,7,9,2,1,3002,P
467,0,0,0,10,0,0,0,-16,-24,3006,P
468,150,8,0,7,1.25,5,9,4,2,3009,P
469,130,7,0,1,3.25,6,4,1,0,3017,P
470,130,7,0,10,0,0,0,-17,-22,2995,P
471,310,7,0,2,3.25,7,16,-9,-12,2962,P
472,130,5,0,10,0,0,0,-17,-25,2995,P
473,130,5,0,10,0,0,0,-17,-25,2995,P
474,150,17,0,10,0,0,0,-11,-15,3011,P
475,140,8,0,10,0,7,45,-7,-10,2990,P
476,150,4,0,10,0,7,16,-2,-4,2985,P
477,340,8,0,6,3.25,7,16,-9,-12,2962,P
478,40,4,0,8,0,0,0,-6,-9,3052,P
479,50,8,0,9,0,0,0,-6,-8,3039,P
480,40,3,0,10,0,0,0,-16,-17,3011,P
481,350,6,0,10,0,0,0,-2,-6,3013,P
482,90,3,0,10,0,0,0,-16,-25,3004,P
483,0,15,0,0,3,7,7,-3,-4,2970,P
484,20,19,0,2,1.25,7,4,1,-1,2963,P
485,80,5,0,6,8,4,60,-1,-4,3034,P
486,120,13,0,10,0,0,0,-9,-12,3013,P
487,70,9,0,10,0,0,0,-7,-8,3040,P
488,100,5,0,2,10,7,4,-4,-5,2993,P
489,150,10,0,10,0,0,0,-19,-21,3000,P
490,270,5,0,5,1.25,7,4,1,0,3004,P
491,260,6,0,1,3.25,7,3,-2,-3,2995,P
492,100,3,0,6,10,6,15,1,0,3012,P
493,150,4,0,10,0,7,16,-2,-4,2985,P
494,0,0,0,10,0,0,0,-2,-3,2987,P
495,140,5,0,9,0,0,0,-2,-4,3004,P
496,140,5,0,9,0,0,0,-2,-4,3004,P
497,10,4,0,2,3.25,7,11,-9,-11,2954,P
498,100,3,0,10,0,6,79,-13,-17,3015,P
499,180,7,0,9,3.25,7,45,-15,-19,3006,P
500,70,4,0,10,8,4,120,0,-5,3048,P
501,270,4,0,1,3.25,7,3,1,0,3002,P
502,270,5,0,5,1.25,7,4,1,0,3004,P
503,270,7,0,3,3.25,7,4,1,1,3002,P
504,0,0,0,8,3.25,5,14,-8,-11,2969,P
505,270,5,0,5,1.25,7,4,1,0,3004,P
506,300,7,0,5,10,7,16,1,-1,3011,P
507,300,6,0,9,0,0,0,1,-1,3012,P
508,120,13,0,10,0,0,0,-3,-8,3012,P
509,80,9,0,10,0,0,0,4,3,2988,P
510,0,0,0,10,0,0,0,1,-9,3060,P
511,280,5,0,10,0,0,0,-5,-8,3014,P
512,250,18,0,6,10,6,9,-4,-7,2957,P
513,140,5,0,10,0,7,43,-2,-8,3029,P
514,300,4,0,7,0,0,0,1,-1,3007,P
515,0,0,0,10,0,0,0,-6,-9,3010,P
516,70,11,0,10,0,7,110,-8,-11,3010,P
517,80,10,0,6,10,7,23,1,-1,3004,P
518,70,14,0,10,0,0,0,-4,-6,3009,P
519,50,7,0,10,0,7,95,-7,-9,3012,P
520,240,5,0,10,0,0,0,-7,-10,2969,P
521,100,9,0,10,0,7,21,2,-1,3005,P
522,110,12,0,10,0,0,0,-8,-12,3012,P
523,100,13,0,8,0,0,0,-2,-6,3026,P
524,80,16,22,10,0,0,0,-6,-9,2995,P
525,90,11,0,10,0,0,0,-3,-6,3015,P
526,350,3,0,10,0,0,0,-15,-18,3005,P
527,180,8,0,10,0,6,95,-1,-5,2960,P
528,0,0,0,10,0,0,0,-1,-9,3054,P
529,140,5,0,10,0,7,41,-3,-8,2954,P
530,120,5,0,10,0,0,0,-8,-13,3025,P
531,190,3,0,10,0,0,0,-13,-18,3012,P
532,0,0,0,4,11,2,0,-14,-17,3036,P
533,130,7,0,10,0,0,0,7,6,2993,P
534,60,4,0,0,9,8,2,0,0,2989,P
535,90,3,0,3,1.25,6,4,4,4,2990,P
536,40,5,0,10,0,0,0,2,-5,3028,P
537,40,11,0,10,0,0,0,-7,-9,2982,P
538,40,11,0,10,0,0,0,-7,-9,2982,P
539,80,15,0,10,0,0,0,-2,-7,3019,P
540,70,8,0,10,0,4,95,-4,-8,3028,P
541,100,5,0,10,0,0,0,-6,-7,2995,P
542,40,9,0,6,10,7,21,-3,-4,3006,P
543,60,9,0,10,0,7,70,-2,-5,3014,P
544,50,13,0,10,0,7,29,-3,-6,3012,P
545,80,11,0,5,0.25,7,9,-1,-3,2978,P
546,100,14,23,10,0,0,0,-4,-9,3013,P
547,0,0,0,10,0,0,0,6,-7,3005,P
548,250,2,0,10,0,0,0,5,-7,3004,P
549,250,2,0,10,0,0,0,5,-7,3004,P
550,270,9,0,10,1.25,5,19,3,1,2931,P
551,50,10,0,10,0,7,110,-2,-5,3013,P
552,80,10,0,9,0,0,0,-2,-5,3010,P
553,40,13,0,10,0,0,0,1,-7,3013,P
554,90,14,0,10,0,0,0,-3,-6,3007,P
555,80,10,0,9,0,0,0,-2,-5,3010,P
556,60,9,0,10,0,6,14,-3,-6,3013,P
557,70,5,0,4,10,7,8,1,-1,2988,P
558,340,9,0,8,0,7,37,2,-2,2995,P
559,110,17,0,10,1.25,4,31,1,-3,2995,P
560,90,16,22,10,0,0,0,-4,-8,3013,P
